CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1729162130.545992,1729162131.053668,0.600000,1.139316,0.000000,-1.139316,0,1,lowpos_12.jpg
1729162131.664665,1729162132.617464,0.600000,1.568381,1.563796,-0.004585,0,2,highneg_06.jpg
1729162133.218464,1729162134.804771,0.600000,2.197922,2.187307,-0.010616,0,3,lowneg_13.jpg
1729162135.406287,1729162137.377727,0.600000,2.585074,2.572956,-0.012118,0,4,highpos_08.jpg
1729162137.993193,1729162138.548552,0.600000,1.142261,1.170825,0.028564,0,5,lowneg_10.jpg
1729162139.126448,1729162141.318849,0.600000,2.794085,2.770297,-0.023788,0,6,neutral_17.jpg
1729162141.922104,1729162143.628487,0.600000,2.313577,2.309638,-0.003939,0,7,lowneg_08.jpg
1729162144.222259,1729162146.160358,0.600000,2.546808,2.531871,-0.014937,0,8,lowpos_29.jpg
1729162146.765093,1729162148.754184,0.600000,2.586866,2.593826,0.006960,0,9,lowneg_06.jpg
1729162149.356001,1729162151.161881,0.600000,2.406134,2.407697,0.001563,0,10,lowneg_22.jpg
1729162151.789528,1729162153.403133,0.600000,2.240999,2.241252,0.000253,0,11,highneg_16.jpg
1729162154.094257,1729162155.980146,0.600000,2.593756,2.577013,-0.016743,0,12,lowneg_21.jpg
1729162156.579113,1729162157.360777,0.600000,1.285279,1.380631,0.095351,0,13,neutral_02.jpg
1729162157.863653,1729162158.746397,0.600000,1.491022,1.385620,-0.105402,0,14,lowneg_01.jpg
1729162159.336916,1729162160.265122,0.600000,1.525654,1.518725,-0.006929,0,15,highneg_04.jpg
1729162160.866673,1729162162.020288,0.600000,1.755593,1.755166,-0.000427,0,16,lowpos_32.jpg
1729162162.635161,1729162164.783844,0.600000,2.757180,2.763556,0.006376,0,17,lowneg_16.jpg
1729162165.378048,1729162166.800313,0.600000,2.030396,2.016469,-0.013927,0,18,lowpos_30.jpg
1729162167.402064,1729162169.613700,0.600000,2.816335,2.813387,-0.002948,0,19,lowneg_09.jpg
1729162170.218203,1729162172.267487,0.600000,2.623175,2.653787,0.030612,0,20,neutral_14.jpg
1729162172.843029,1729162174.158380,0.600000,1.917613,1.890893,-0.026720,0,21,highpos_03.jpg
1729162174.748680,1729162175.298809,0.600000,1.158966,1.140429,-0.018537,0,22,lowpos_17.jpg
1729162175.903371,1729162176.365498,0.600000,1.069588,1.066689,-0.002899,0,23,highpos_27.jpg
1729162176.967633,1729162178.339545,0.600000,1.972158,1.974047,0.001889,0,24,neutral_23.jpg
1729162178.941155,1729162180.950666,0.600000,2.613376,2.611121,-0.002255,0,25,highneg_19.jpg
1729162181.553654,1729162182.558977,0.600000,1.613109,1.608311,-0.004798,0,26,highneg_09.jpg
1729162183.148414,1729162185.107435,0.600000,2.555641,2.548458,-0.007182,0,27,lowneg_25.jpg
